"","date","county","state","fips","cases","deaths","clat10","clon10"
"1",2021-04-07,"autauga","alabama",1001,6675,102,32.536382,-86.64449
"2",2021-04-07,"baldwin","alabama",1003,20573,301,30.659218,-87.746067
"3",2021-04-07,"barbour","alabama",1005,2239,55,31.87067,-85.405456
"4",2021-04-07,"bibb","alabama",1007,2557,58,33.015893,-87.127148
"5",2021-04-07,"blount","alabama",1009,6469,133,33.977448,-86.567246
"6",2021-04-07,"bullock","alabama",1011,1211,40,32.101759,-85.717261
"7",2021-04-07,"butler","alabama",1013,2116,66,31.751667,-86.681969
"8",2021-04-07,"calhoun","alabama",1015,14251,310,33.771706,-85.822513
"9",2021-04-07,"chambers","alabama",1017,3491,121,32.917943,-85.391812
"10",2021-04-07,"cherokee","alabama",1019,1816,43,34.069515,-85.654242
"11",2021-04-07,"chilton","alabama",1021,4069,109,32.854059,-86.726627
"12",2021-04-07,"choctaw","alabama",1023,584,24,31.991008,-88.248887
"13",2021-04-07,"clarke","alabama",1025,3457,60,31.685521,-87.818624
"14",2021-04-07,"clay","alabama",1027,1488,54,33.267809,-85.862051
"15",2021-04-07,"cleburne","alabama",1029,1456,41,33.671981,-85.516109
"16",2021-04-07,"coffee","alabama",1031,5393,111,31.402183,-85.989201
"17",2021-04-07,"colbert","alabama",1033,6193,129,34.703112,-87.801457
"18",2021-04-07,"conecuh","alabama",1035,1087,27,31.428292,-86.992029
"19",2021-04-07,"coosa","alabama",1037,982,26,32.931445,-86.243482
"20",2021-04-07,"covington","alabama",1039,4051,112,31.243987,-86.448721
"21",2021-04-07,"crenshaw","alabama",1041,1493,57,31.732826,-86.319222
"22",2021-04-07,"cullman","alabama",1043,9437,188,34.131923,-86.869267
"23",2021-04-07,"dale","alabama",1045,4764,108,31.430654,-85.609476
"24",2021-04-07,"dallas","alabama",1047,3514,149,32.33354,-87.114356
"25",2021-04-07,"dekalb","alabama",1049,8718,181,34.460929,-85.803992
"26",2021-04-07,"elmore","alabama",1051,9977,199,32.597229,-86.142738
"27",2021-04-07,"escambia","alabama",1053,3869,74,31.121747,-87.168429
"28",2021-04-07,"etowah","alabama",1055,13654,345,34.047638,-86.03442
"29",2021-04-07,"fayette","alabama",1057,2081,59,33.732249,-87.752049
"30",2021-04-07,"franklin","alabama",1059,4191,82,34.441988,-87.842815
"31",2021-04-07,"geneva","alabama",1061,2455,75,31.090866,-85.824346
"32",2021-04-07,"greene","alabama",1063,906,34,32.844497,-87.9642
"33",2021-04-07,"hale","alabama",1065,2184,75,32.752796,-87.623061
"34",2021-04-07,"henry","alabama",1067,1874,44,31.516978,-85.239971
"35",2021-04-07,"houston","alabama",1069,10363,276,31.158193,-85.296398
"36",2021-04-07,"jackson","alabama",1071,6743,108,34.763522,-85.9774
"37",2021-04-07,"jefferson","alabama",1073,75095,1476,33.553444,-86.896536
"38",2021-04-07,"lamar","alabama",1075,1392,33,33.787085,-88.087431
"39",2021-04-07,"lauderdale","alabama",1077,9178,227,34.904122,-87.650997
"40",2021-04-07,"lawrence","alabama",1079,2947,95,34.529776,-87.321865
"41",2021-04-07,"lee","alabama",1081,15468,165,32.604064,-85.353048
"42",2021-04-07,"limestone","alabama",1083,9778,146,34.810239,-86.981399
"43",2021-04-07,"lowndes","alabama",1085,1362,53,32.147888,-86.650586
"44",2021-04-07,"macon","alabama",1087,1543,48,32.387027,-85.692887
"45",2021-04-07,"madison","alabama",1089,33710,490,34.764238,-86.55108
"46",2021-04-07,"marengo","alabama",1091,2487,60,32.247591,-87.791091
"47",2021-04-07,"marion","alabama",1093,3064,101,34.138219,-87.881551
"48",2021-04-07,"marshall","alabama",1095,11912,218,34.309564,-86.321668
"49",2021-04-07,"mobile","alabama",1097,37644,794,30.684573,-88.196568
"50",2021-04-07,"monroe","alabama",1099,1711,40,31.580332,-87.383266
"51",2021-04-07,"montgomery","alabama",1101,23872,561,32.20365,-86.203831
"52",2021-04-07,"morgan","alabama",1103,14128,266,34.454484,-86.846402
"53",2021-04-07,"perry","alabama",1105,1081,26,32.639005,-87.293827
"54",2021-04-07,"pickens","alabama",1107,2329,57,33.296808,-88.096878
"55",2021-04-07,"pike","alabama",1109,3049,75,31.798726,-85.941997
"56",2021-04-07,"randolph","alabama",1111,1757,41,33.296475,-85.464068
"57",2021-04-07,"russell","alabama",1113,4250,37,32.289811,-85.18698
"58",2021-04-07,"shelby","alabama",1117,23095,237,33.262937,-86.678104
"59",2021-04-07,"st. clair","alabama",1115,9394,234,33.712963,-86.315663
"60",2021-04-07,"sumter","alabama",1119,1031,32,32.597481,-88.200057
"61",2021-04-07,"talladega","alabama",1121,8017,169,33.369277,-86.175805
"62",2021-04-07,"tallapoosa","alabama",1123,3886,147,32.863369,-85.799553
"63",2021-04-07,"tuscaloosa","alabama",1125,25214,439,33.290202,-87.52286
"64",2021-04-07,"walker","alabama",1127,7076,274,33.791571,-87.301092
"65",2021-04-07,"washington","alabama",1129,1638,38,31.406974,-88.202078
"66",2021-04-07,"wilcox","alabama",1131,1243,26,31.99033,-87.302205
"67",2021-04-07,"winston","alabama",1133,2720,71,34.155888,-87.364147
"68",2021-04-07,"aleutians east borough","alaska",2013,363,2,55.243722,-161.950749
"69",2021-04-07,"aleutians west census area","alaska",2016,654,0,51.959447,178.338813
"70",2021-04-07,"anchorage","alaska",2020,28780,161,61.177549,-149.274354
"71",2021-04-07,"bethel census area","alaska",2050,3816,20,60.928916,-160.15335
"72",2021-04-07,"denali borough","alaska",2068,91,0,63.682732,-150.026719
"73",2021-04-07,"dillingham census area","alaska",2070,208,1,59.824816,-158.602233
"74",2021-04-07,"fairbanks north star borough","alaska",2090,6692,32,64.690832,-146.599867
"75",2021-04-07,"haines borough","alaska",2100,26,0,59.099905,-135.578102
"76",2021-04-07,"juneau city and borough","alaska",2110,1289,3,58.3727,-134.178781
"77",2021-04-07,"kenai peninsula borough","alaska",2122,4169,19,60.366373,-152.321973
"78",2021-04-07,"ketchikan gateway borough","alaska",2130,383,1,55.449938,-131.106685
"79",2021-04-07,"kodiak island borough","alaska",2150,1081,5,57.553611,-153.630911
"80",2021-04-07,"matanuska-susitna borough","alaska",2170,10318,35,62.182174,-149.407974
"81",2021-04-07,"nome census area","alaska",2180,340,0,64.783686,-164.188912
"82",2021-04-07,"north slope borough","alaska",2185,1043,4,69.449343,-153.47283
"83",2021-04-07,"northwest arctic borough","alaska",2188,596,2,67.005066,-160.021086
"84",2021-04-07,"petersburg borough","alaska",2195,153,0,56.639612,-133.527996
"85",2021-04-07,"prince of wales-hyder census area","alaska",2198,79,1,55.415683,-132.875734
"86",2021-04-07,"sitka city and borough","alaska",2220,326,0,57.142508,-135.332624
"87",2021-04-07,"skagway municipality","alaska",2230,19,0,59.575097,-135.335418
"88",2021-04-07,"southeast fairbanks census area","alaska",2240,622,3,63.864997,-143.218628
"89",2021-04-07,"valdez-cordova census area","alaska",2261,587,2,61.34984,-145.023141
"90",2021-04-07,"wrangell city and borough","alaska",2275,34,0,56.279121,-132.040325
"91",2021-04-07,"yukon-koyukuk census area","alaska",2290,349,4,65.376131,-151.576855
"92",2021-04-07,"apache","arizona",4001,11202,421,35.385845,-109.493747
"93",2021-04-07,"cochise","arizona",4003,11669,281,31.881793,-109.75412
"94",2021-04-07,"coconino","arizona",4005,17221,326,35.829692,-111.773728
"95",2021-04-07,"gila","arizona",4007,6573,222,33.789618,-110.81187
"96",2021-04-07,"graham","arizona",4009,5370,77,32.931828,-109.87831
"97",2021-04-07,"greenlee","arizona",4011,567,10,33.238872,-109.242323
"98",2021-04-07,"la paz","arizona",4012,2448,78,33.727625,-114.038793
"99",2021-04-07,"maricopa","arizona",4013,526890,9694,33.346541,-112.495534
"100",2021-04-07,"mohave","arizona",4015,22252,691,35.717705,-113.749689
"101",2021-04-07,"navajo","arizona",4017,15747,521,35.390934,-110.320908
"102",2021-04-07,"pima","arizona",4019,113253,2361,32.128237,-111.783018
"103",2021-04-07,"pinal","arizona",4021,49996,858,32.91891,-111.367257
"104",2021-04-07,"santa cruz","arizona",4023,7851,173,31.525904,-110.84519
"105",2021-04-07,"yavapai","arizona",4025,18388,491,34.630044,-112.573745
"106",2021-04-07,"yuma","arizona",4027,36814,821,32.773942,-113.910905
"107",2021-04-07,"arkansas","arkansas",5001,2082,36,34.289573,-91.376547
"108",2021-04-07,"ashley","arkansas",5003,1910,33,33.190835,-91.772267
"109",2021-04-07,"baxter","arkansas",5005,3101,101,36.28071,-92.330438
"110",2021-04-07,"benton","arkansas",5007,28280,409,36.337825,-94.256187
"111",2021-04-07,"boone","arkansas",5009,3745,79,36.304308,-93.079204
"112",2021-04-07,"bradley","arkansas",5011,1356,32,33.463819,-92.168164
"113",2021-04-07,"calhoun","arkansas",5013,409,3,33.56046,-92.513879
"114",2021-04-07,"carroll","arkansas",5015,2755,44,36.337774,-93.541663
"115",2021-04-07,"chicot","arkansas",5017,1610,40,33.267139,-91.297158
"116",2021-04-07,"clark","arkansas",5019,2091,40,34.053312,-93.176205
"117",2021-04-07,"clay","arkansas",5021,1723,50,36.367302,-90.418704
"118",2021-04-07,"cleburne","arkansas",5023,1949,73,35.566288,-92.059974
"119",2021-04-07,"cleveland","arkansas",5025,942,25,33.893201,-92.188714
"120",2021-04-07,"columbia","arkansas",5027,2325,55,33.21507,-93.226901
"121",2021-04-07,"conway","arkansas",5029,2193,32,35.265702,-92.689248
"122",2021-04-07,"craighead","arkansas",5031,13114,176,35.828268,-90.630411
"123",2021-04-07,"crawford","arkansas",5033,6999,116,35.583041,-94.236224
"124",2021-04-07,"crittenden","arkansas",5035,5907,96,35.211878,-90.315331
"125",2021-04-07,"cross","arkansas",5037,1929,49,35.291259,-90.773894
"126",2021-04-07,"dallas","arkansas",5039,757,15,33.967823,-92.653999
"127",2021-04-07,"desha","arkansas",5041,1358,24,33.828748,-91.244427
"128",2021-04-07,"drew","arkansas",5043,1986,41,33.587242,-91.722778
"129",2021-04-07,"faulkner","arkansas",5045,12248,157,35.146356,-92.324654
"130",2021-04-07,"franklin","arkansas",5047,1680,39,35.508573,-93.887672
"131",2021-04-07,"fulton","arkansas",5049,1101,47,36.383443,-91.819239
"132",2021-04-07,"garland","arkansas",5051,10054,255,34.578861,-93.146915
"133",2021-04-07,"grant","arkansas",5053,1637,32,34.288063,-92.423984
"134",2021-04-07,"greene","arkansas",5055,6032,75,36.119922,-90.565241
"135",2021-04-07,"hempstead","arkansas",5057,1984,20,33.728611,-93.665809
"136",2021-04-07,"hot spring","arkansas",5059,5016,71,34.315177,-92.944147
"137",2021-04-07,"howard","arkansas",5061,1641,24,34.083179,-93.990988
"138",2021-04-07,"independence","arkansas",5063,3725,121,35.737499,-91.559942
"139",2021-04-07,"izard","arkansas",5065,1662,41,36.094879,-91.913625
"140",2021-04-07,"jackson","arkansas",5067,3210,38,35.596605,-91.223178
"141",2021-04-07,"jefferson","arkansas",5069,8756,163,34.277695,-91.930701
"142",2021-04-07,"johnson","arkansas",5071,2888,37,35.573359,-93.466322
"143",2021-04-07,"lafayette","arkansas",5073,543,9,33.24066,-93.611643
"144",2021-04-07,"lawrence","arkansas",5075,2072,43,36.041098,-91.101153
"145",2021-04-07,"lee","arkansas",5077,1659,34,34.77975,-90.779288
"146",2021-04-07,"lincoln","arkansas",5079,3184,48,33.957665,-91.727624
"147",2021-04-07,"little river","arkansas",5081,1224,41,33.699497,-94.229774
