"","date","state","fips","cases","deaths","latitude","longitude","name"
"1",2020-03-13,"alabama",1,6,0,32.7794,-86.8287,"alabama"
"2",2020-03-14,"alabama",1,12,0,32.7794,-86.8287,"alabama"
"3",2020-03-15,"alabama",1,23,0,32.7794,-86.8287,"alabama"
"4",2020-03-16,"alabama",1,29,0,32.7794,-86.8287,"alabama"
"5",2020-03-17,"alabama",1,39,0,32.7794,-86.8287,"alabama"
"6",2020-03-18,"alabama",1,51,0,32.7794,-86.8287,"alabama"
"7",2020-03-19,"alabama",1,78,0,32.7794,-86.8287,"alabama"
"8",2020-03-20,"alabama",1,106,0,32.7794,-86.8287,"alabama"
"9",2020-03-21,"alabama",1,131,0,32.7794,-86.8287,"alabama"
"10",2020-03-22,"alabama",1,157,0,32.7794,-86.8287,"alabama"
"11",2020-03-23,"alabama",1,196,0,32.7794,-86.8287,"alabama"
"12",2020-03-24,"alabama",1,242,0,32.7794,-86.8287,"alabama"
"13",2020-03-25,"alabama",1,386,1,32.7794,-86.8287,"alabama"
"14",2020-03-26,"alabama",1,538,3,32.7794,-86.8287,"alabama"
"15",2020-03-27,"alabama",1,639,4,32.7794,-86.8287,"alabama"
"16",2020-03-28,"alabama",1,720,4,32.7794,-86.8287,"alabama"
"17",2020-03-29,"alabama",1,830,5,32.7794,-86.8287,"alabama"
"18",2020-03-30,"alabama",1,947,11,32.7794,-86.8287,"alabama"
"19",2020-03-31,"alabama",1,999,14,32.7794,-86.8287,"alabama"
"20",2020-04-01,"alabama",1,1108,28,32.7794,-86.8287,"alabama"
"21",2020-04-02,"alabama",1,1270,32,32.7794,-86.8287,"alabama"
"22",2020-04-03,"alabama",1,1535,38,32.7794,-86.8287,"alabama"
"23",2020-04-04,"alabama",1,1632,44,32.7794,-86.8287,"alabama"
"24",2020-04-05,"alabama",1,1840,45,32.7794,-86.8287,"alabama"
"25",2020-04-06,"alabama",1,2005,53,32.7794,-86.8287,"alabama"
"26",2020-04-07,"alabama",1,2197,64,32.7794,-86.8287,"alabama"
"27",2020-04-08,"alabama",1,2498,67,32.7794,-86.8287,"alabama"
"28",2020-04-09,"alabama",1,2838,78,32.7794,-86.8287,"alabama"
"29",2020-04-10,"alabama",1,3008,80,32.7794,-86.8287,"alabama"
