"date","state","fips","cases","deaths","name","description","latitude","longitude","new_cases"
2020-03-13,"alabama",1,6,0,"Alabama","Montgomery",32.377716,-86.300568,0
2020-03-14,"alabama",1,12,0,"Alabama","Montgomery",32.377716,-86.300568,6
2020-03-15,"alabama",1,23,0,"Alabama","Montgomery",32.377716,-86.300568,11
2020-03-16,"alabama",1,29,0,"Alabama","Montgomery",32.377716,-86.300568,6
2020-03-17,"alabama",1,39,0,"Alabama","Montgomery",32.377716,-86.300568,10
2020-03-18,"alabama",1,51,0,"Alabama","Montgomery",32.377716,-86.300568,12
2020-03-19,"alabama",1,78,0,"Alabama","Montgomery",32.377716,-86.300568,27
2020-03-20,"alabama",1,106,0,"Alabama","Montgomery",32.377716,-86.300568,28
2020-03-21,"alabama",1,131,0,"Alabama","Montgomery",32.377716,-86.300568,25
2020-03-22,"alabama",1,157,0,"Alabama","Montgomery",32.377716,-86.300568,26
2020-03-23,"alabama",1,196,0,"Alabama","Montgomery",32.377716,-86.300568,39
2020-03-24,"alabama",1,242,0,"Alabama","Montgomery",32.377716,-86.300568,46
2020-03-25,"alabama",1,386,1,"Alabama","Montgomery",32.377716,-86.300568,144
2020-03-26,"alabama",1,538,3,"Alabama","Montgomery",32.377716,-86.300568,152
2020-03-27,"alabama",1,639,4,"Alabama","Montgomery",32.377716,-86.300568,101
2020-03-28,"alabama",1,720,4,"Alabama","Montgomery",32.377716,-86.300568,81
2020-03-29,"alabama",1,830,5,"Alabama","Montgomery",32.377716,-86.300568,110
2020-03-30,"alabama",1,947,11,"Alabama","Montgomery",32.377716,-86.300568,117
2020-03-31,"alabama",1,999,14,"Alabama","Montgomery",32.377716,-86.300568,52
2020-04-01,"alabama",1,1108,28,"Alabama","Montgomery",32.377716,-86.300568,109
2020-04-02,"alabama",1,1270,32,"Alabama","Montgomery",32.377716,-86.300568,162
2020-04-03,"alabama",1,1535,38,"Alabama","Montgomery",32.377716,-86.300568,265
2020-04-04,"alabama",1,1632,44,"Alabama","Montgomery",32.377716,-86.300568,97
2020-04-05,"alabama",1,1840,45,"Alabama","Montgomery",32.377716,-86.300568,208
2020-04-06,"alabama",1,2005,53,"Alabama","Montgomery",32.377716,-86.300568,165
2020-04-07,"alabama",1,2197,64,"Alabama","Montgomery",32.377716,-86.300568,192
2020-04-08,"alabama",1,2498,67,"Alabama","Montgomery",32.377716,-86.300568,301
2020-04-09,"alabama",1,2838,78,"Alabama","Montgomery",32.377716,-86.300568,340
2020-04-10,"alabama",1,3008,80,"Alabama","Montgomery",32.377716,-86.300568,170
2020-04-11,"alabama",1,3262,93,"Alabama","Montgomery",32.377716,-86.300568,254
2020-04-12,"alabama",1,3583,93,"Alabama","Montgomery",32.377716,-86.300568,321
2020-04-13,"alabama",1,3805,104,"Alabama","Montgomery",32.377716,-86.300568,222
2020-04-14,"alabama",1,3953,114,"Alabama","Montgomery",32.377716,-86.300568,148
2020-04-15,"alabama",1,4241,123,"Alabama","Montgomery",32.377716,-86.300568,288
2020-04-16,"alabama",1,4404,137,"Alabama","Montgomery",32.377716,-86.300568,163
2020-04-17,"alabama",1,4572,151,"Alabama","Montgomery",32.377716,-86.300568,168
2020-04-18,"alabama",1,4723,147,"Alabama","Montgomery",32.377716,-86.300568,151
2020-04-19,"alabama",1,4903,160,"Alabama","Montgomery",32.377716,-86.300568,180
2020-04-20,"alabama",1,5078,164,"Alabama","Montgomery",32.377716,-86.300568,175
2020-04-21,"alabama",1,5327,186,"Alabama","Montgomery",32.377716,-86.300568,249
2020-04-22,"alabama",1,5610,201,"Alabama","Montgomery",32.377716,-86.300568,283
2020-04-23,"alabama",1,5832,197,"Alabama","Montgomery",32.377716,-86.300568,222
2020-04-24,"alabama",1,6026,209,"Alabama","Montgomery",32.377716,-86.300568,194
2020-04-25,"alabama",1,6213,213,"Alabama","Montgomery",32.377716,-86.300568,187
2020-04-26,"alabama",1,6421,219,"Alabama","Montgomery",32.377716,-86.300568,208
2020-04-27,"alabama",1,6539,228,"Alabama","Montgomery",32.377716,-86.300568,118
2020-04-28,"alabama",1,6750,242,"Alabama","Montgomery",32.377716,-86.300568,211
2020-04-29,"alabama",1,6925,262,"Alabama","Montgomery",32.377716,-86.300568,175
2020-04-30,"alabama",1,7068,272,"Alabama","Montgomery",32.377716,-86.300568,143
2020-05-01,"alabama",1,7294,289,"Alabama","Montgomery",32.377716,-86.300568,226
2020-05-02,"alabama",1,7611,288,"Alabama","Montgomery",32.377716,-86.300568,317
2020-05-03,"alabama",1,7888,290,"Alabama","Montgomery",32.377716,-86.300568,277
2020-05-04,"alabama",1,8112,298,"Alabama","Montgomery",32.377716,-86.300568,224
2020-05-05,"alabama",1,8437,315,"Alabama","Montgomery",32.377716,-86.300568,325
2020-05-06,"alabama",1,8691,343,"Alabama","Montgomery",32.377716,-86.300568,254
2020-05-07,"alabama",1,9046,369,"Alabama","Montgomery",32.377716,-86.300568,355
2020-05-08,"alabama",1,9385,383,"Alabama","Montgomery",32.377716,-86.300568,339
2020-05-09,"alabama",1,9668,390,"Alabama","Montgomery",32.377716,-86.300568,283
2020-05-10,"alabama",1,9889,393,"Alabama","Montgomery",32.377716,-86.300568,221
2020-05-11,"alabama",1,10164,403,"Alabama","Montgomery",32.377716,-86.300568,275
2020-05-12,"alabama",1,10464,435,"Alabama","Montgomery",32.377716,-86.300568,300
2020-05-13,"alabama",1,10700,450,"Alabama","Montgomery",32.377716,-86.300568,236
2020-05-14,"alabama",1,11101,473,"Alabama","Montgomery",32.377716,-86.300568,401
2020-05-15,"alabama",1,11373,483,"Alabama","Montgomery",32.377716,-86.300568,272
2020-05-16,"alabama",1,11674,485,"Alabama","Montgomery",32.377716,-86.300568,301
2020-05-17,"alabama",1,11771,488,"Alabama","Montgomery",32.377716,-86.300568,97
2020-05-18,"alabama",1,12086,489,"Alabama","Montgomery",32.377716,-86.300568,315
2020-05-19,"alabama",1,12376,504,"Alabama","Montgomery",32.377716,-86.300568,290
2020-05-20,"alabama",1,13052,522,"Alabama","Montgomery",32.377716,-86.300568,676
2020-05-21,"alabama",1,13414,529,"Alabama","Montgomery",32.377716,-86.300568,362
2020-05-22,"alabama",1,13670,541,"Alabama","Montgomery",32.377716,-86.300568,256
2020-05-23,"alabama",1,14149,549,"Alabama","Montgomery",32.377716,-86.300568,479
2020-05-24,"alabama",1,14478,551,"Alabama","Montgomery",32.377716,-86.300568,329
2020-05-25,"alabama",1,14986,566,"Alabama","Montgomery",32.377716,-86.300568,508
2020-05-26,"alabama",1,15650,580,"Alabama","Montgomery",32.377716,-86.300568,664
2020-05-27,"alabama",1,16032,583,"Alabama","Montgomery",32.377716,-86.300568,382
2020-05-28,"alabama",1,16530,591,"Alabama","Montgomery",32.377716,-86.300568,498
2020-05-29,"alabama",1,17031,610,"Alabama","Montgomery",32.377716,-86.300568,501
2020-05-30,"alabama",1,17359,618,"Alabama","Montgomery",32.377716,-86.300568,328
2020-05-31,"alabama",1,17952,630,"Alabama","Montgomery",32.377716,-86.300568,593
2020-06-01,"alabama",1,18534,646,"Alabama","Montgomery",32.377716,-86.300568,582
2020-06-02,"alabama",1,18771,653,"Alabama","Montgomery",32.377716,-86.300568,237
2020-06-03,"alabama",1,18851,653,"Alabama","Montgomery",32.377716,-86.300568,80
2020-06-04,"alabama",1,19072,653,"Alabama","Montgomery",32.377716,-86.300568,221
2020-06-05,"alabama",1,19387,676,"Alabama","Montgomery",32.377716,-86.300568,315
2020-06-06,"alabama",1,20043,689,"Alabama","Montgomery",32.377716,-86.300568,656
2020-06-07,"alabama",1,20500,692,"Alabama","Montgomery",32.377716,-86.300568,457
2020-06-08,"alabama",1,20925,718,"Alabama","Montgomery",32.377716,-86.300568,425
2020-06-09,"alabama",1,21422,729,"Alabama","Montgomery",32.377716,-86.300568,497
2020-06-10,"alabama",1,21989,744,"Alabama","Montgomery",32.377716,-86.300568,567
2020-06-11,"alabama",1,22845,755,"Alabama","Montgomery",32.377716,-86.300568,856
2020-06-12,"alabama",1,23710,769,"Alabama","Montgomery",32.377716,-86.300568,865
2020-06-13,"alabama",1,24601,773,"Alabama","Montgomery",32.377716,-86.300568,891
2020-06-14,"alabama",1,25615,773,"Alabama","Montgomery",32.377716,-86.300568,1014
2020-06-15,"alabama",1,26272,774,"Alabama","Montgomery",32.377716,-86.300568,657
2020-06-16,"alabama",1,26912,785,"Alabama","Montgomery",32.377716,-86.300568,640
2020-06-17,"alabama",1,27312,790,"Alabama","Montgomery",32.377716,-86.300568,400
2020-06-18,"alabama",1,28206,810,"Alabama","Montgomery",32.377716,-86.300568,894
2020-06-19,"alabama",1,29002,822,"Alabama","Montgomery",32.377716,-86.300568,796
2020-06-20,"alabama",1,29549,838,"Alabama","Montgomery",32.377716,-86.300568,547
2020-06-21,"alabama",1,30021,839,"Alabama","Montgomery",32.377716,-86.300568,472
2020-06-22,"alabama",1,30454,841,"Alabama","Montgomery",32.377716,-86.300568,433
2020-06-23,"alabama",1,31097,864,"Alabama","Montgomery",32.377716,-86.300568,643
2020-06-24,"alabama",1,32064,891,"Alabama","Montgomery",32.377716,-86.300568,967
2020-06-25,"alabama",1,33206,896,"Alabama","Montgomery",32.377716,-86.300568,1142
2020-06-26,"alabama",1,34183,907,"Alabama","Montgomery",32.377716,-86.300568,977
2020-06-27,"alabama",1,35083,919,"Alabama","Montgomery",32.377716,-86.300568,900
2020-06-28,"alabama",1,35441,919,"Alabama","Montgomery",32.377716,-86.300568,358
2020-06-29,"alabama",1,37175,929,"Alabama","Montgomery",32.377716,-86.300568,1734
2020-06-30,"alabama",1,38045,950,"Alabama","Montgomery",32.377716,-86.300568,870
2020-07-01,"alabama",1,38962,972,"Alabama","Montgomery",32.377716,-86.300568,917
2020-07-02,"alabama",1,40111,985,"Alabama","Montgomery",32.377716,-86.300568,1149
2020-07-03,"alabama",1,41865,1006,"Alabama","Montgomery",32.377716,-86.300568,1754
2020-07-04,"alabama",1,42862,1007,"Alabama","Montgomery",32.377716,-86.300568,997
2020-07-05,"alabama",1,43953,1007,"Alabama","Montgomery",32.377716,-86.300568,1091
2020-07-06,"alabama",1,44878,1007,"Alabama","Montgomery",32.377716,-86.300568,925
2020-07-07,"alabama",1,45785,1033,"Alabama","Montgomery",32.377716,-86.300568,907
2020-07-08,"alabama",1,46962,1058,"Alabama","Montgomery",32.377716,-86.300568,1177
2020-07-09,"alabama",1,49174,1068,"Alabama","Montgomery",32.377716,-86.300568,2212
2020-07-10,"alabama",1,50508,1104,"Alabama","Montgomery",32.377716,-86.300568,1334
2020-07-11,"alabama",1,51947,1114,"Alabama","Montgomery",32.377716,-86.300568,1439
2020-07-12,"alabama",1,53587,1121,"Alabama","Montgomery",32.377716,-86.300568,1640
2020-07-13,"alabama",1,55545,1124,"Alabama","Montgomery",32.377716,-86.300568,1958
2020-07-14,"alabama",1,57255,1164,"Alabama","Montgomery",32.377716,-86.300568,1710
2020-07-15,"alabama",1,59067,1211,"Alabama","Montgomery",32.377716,-86.300568,1812
2020-07-16,"alabama",1,61088,1230,"Alabama","Montgomery",32.377716,-86.300568,2021
2020-07-17,"alabama",1,63091,1265,"Alabama","Montgomery",32.377716,-86.300568,2003
2020-07-18,"alabama",1,65234,1286,"Alabama","Montgomery",32.377716,-86.300568,2143
2020-07-19,"alabama",1,67011,1287,"Alabama","Montgomery",32.377716,-86.300568,1777
2020-07-20,"alabama",1,68891,1291,"Alabama","Montgomery",32.377716,-86.300568,1880
2020-07-21,"alabama",1,70358,1303,"Alabama","Montgomery",32.377716,-86.300568,1467
2020-07-22,"alabama",1,71813,1364,"Alabama","Montgomery",32.377716,-86.300568,1455
2020-07-23,"alabama",1,74212,1397,"Alabama","Montgomery",32.377716,-86.300568,2399
2020-07-24,"alabama",1,76005,1438,"Alabama","Montgomery",32.377716,-86.300568,1793
2020-07-25,"alabama",1,78130,1456,"Alabama","Montgomery",32.377716,-86.300568,2125
2020-07-26,"alabama",1,79294,1473,"Alabama","Montgomery",32.377716,-86.300568,1164
2020-07-27,"alabama",1,81115,1491,"Alabama","Montgomery",32.377716,-86.300568,1821
2020-07-28,"alabama",1,82366,1491,"Alabama","Montgomery",32.377716,-86.300568,1251
2020-07-29,"alabama",1,83782,1538,"Alabama","Montgomery",32.377716,-86.300568,1416
2020-07-30,"alabama",1,85762,1565,"Alabama","Montgomery",32.377716,-86.300568,1980
2020-07-31,"alabama",1,87723,1580,"Alabama","Montgomery",32.377716,-86.300568,1961
2020-08-01,"alabama",1,89349,1603,"Alabama","Montgomery",32.377716,-86.300568,1626
2020-08-02,"alabama",1,91444,1627,"Alabama","Montgomery",32.377716,-86.300568,2095
2020-08-03,"alabama",1,92661,1633,"Alabama","Montgomery",32.377716,-86.300568,1217
