date,state,fips,cases,deaths,latitude,longitude,name
4/5/21,alabama,1,516918,10638,32.7794,-86.8287,alabama
4/5/21,alaska,2,63486,299,64.0685,-152.2782,alaska
4/5/21,arizona,4,844921,16990,34.2744,-111.6602,arizona
4/5/21,arkansas,5,331098,5648,34.8938,-92.4426,arkansas
4/5/21,california,6,3682916,59761,37.1841,-119.4696,california
4/5/21,colorado,8,471702,6190,38.9972,-105.5478,colorado
4/5/21,connecticut,9,316655,7923,41.6219,-72.7273,connecticut
4/5/21,delaware,10,96577,1566,38.9896,-75.505,delaware
4/5/21,district of columbia,11,45112,1072,38.9101,-77.0147,district of columbia
4/5/21,florida,12,2085298,33709,28.6305,-82.4497,florida
4/5/21,georgia,13,1041275,18625,32.6415,-83.4426,georgia
4/5/21,hawaii,15,30427,464,20.2927,-156.3737,hawaii
4/5/21,idaho,16,181961,1975,44.3509,-114.613,idaho
4/5/21,illinois,17,1262345,23665,40.0417,-89.1965,illinois
4/5/21,indiana,18,694918,13075,39.8942,-86.2816,indiana
4/5/21,iowa,19,353829,5822,42.0751,-93.496,iowa
4/5/21,kansas,20,305489,4927,38.4937,-98.3804,kansas
4/5/21,kentucky,21,432851,6267,37.5347,-85.3021,kentucky
4/5/21,louisiana,22,446737,10165,31.0689,-91.9968,louisiana
4/5/21,maine,23,51986,746,45.3695,-69.2428,maine
4/5/21,maryland,24,418374,8363,39.055,-76.7909,maryland
4/5/21,massachusetts,25,646220,17325,42.2596,-71.8083,massachusetts
4/5/21,michigan,26,779658,17274,44.3467,-85.4102,michigan
4/5/21,minnesota,27,527728,6963,46.2807,-94.3053,minnesota
4/5/21,mississippi,28,306158,7055,32.7364,-89.6678,mississippi
4/5/21,missouri,29,588005,8990,38.3566,-92.458,missouri
4/5/21,montana,30,105273,1466,47.0527,-109.6333,montana
4/5/21,nebraska,31,212237,2289,41.5378,-99.7951,nebraska
4/5/21,nevada,32,305374,5275,39.3289,-116.6312,nevada
4/5/21,new hampshire,33,86125,1249,43.6805,-71.5811,new hampshire
4/5/21,new jersey,34,930026,24649,40.1907,-74.6728,new jersey
4/5/21,new mexico,35,192595,3955,34.4071,-106.1126,new mexico
4/5/21,new york,36,1910858,50195,42.9538,-75.5268,new york
4/5/21,north carolina,37,928253,12200,35.5557,-79.3877,north carolina
4/5/21,north dakota,38,103745,1497,47.4501,-100.4659,north dakota
4/5/21,ohio,39,1026929,18643,40.2862,-82.7937,ohio
4/5/21,oklahoma,40,440022,4953,35.5889,-97.4943,oklahoma
4/5/21,oregon,41,167219,2409,43.9336,-120.5583,oregon
4/5/21,pennsylvania,42,1050649,25254,40.8781,-77.7996,pennsylvania
4/5/21,rhode island,44,139173,2629,41.6762,-71.5562,rhode island
4/5/21,south carolina,45,556469,9203,33.9169,-80.8964,south carolina
4/5/21,south dakota,46,118517,1938,44.4443,-100.2263,south dakota
4/5/21,tennessee,47,803028,11828,35.858,-86.3505,tennessee
4/5/21,texas,48,2807528,48881,31.4757,-99.3312,texas
4/5/21,utah,49,387574,2133,39.3055,-111.6703,utah
4/5/21,vermont,50,20267,229,44.0687,-72.6658,vermont
4/5/21,virginia,51,626171,10360,37.5215,-78.8537,virginia
4/5/21,washington,53,372631,5338,47.3826,-120.4472,washington
4/5/21,west virginia,54,143733,2696,38.6409,-80.6227,west virginia
4/5/21,wisconsin,55,639765,7342,44.6243,-89.9941,wisconsin
4/5/21,wyoming,56,56529,700,42.9957,-107.5512,wyoming
